City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
328,aklavik,75,CA,1563163429,64,68.22,-135.01,68.0,9.17
329,itarema,69,BR,1563163532,95,-2.92,-39.92,72.81,3.83
330,karratha,0,AU,1563163532,17,-20.74,116.85,74.61,24.45
331,labuhan,15,ID,1563163422,47,-2.54,115.51,88.29,1.92
332,powell river,90,CA,1563163256,68,49.84,-124.52,68.0,3.36
333,puerto ayacucho,40,CO,1563163532,88,5.66,-67.63,78.8,3.33
334,awjilah,0,LY,1563163532,65,29.14,21.3,74.97,6.93
335,jieshi,88,CN,1563163533,70,22.82,115.83,91.0,8.63
336,ndjole,100,GA,1563163533,93,-0.18,10.76,71.73,3.47
337,rafaela,82,AR,1563163236,63,-31.25,-61.49,48.99,3.15
338,husavik,0,CA,1563163427,77,50.56,-96.99,78.01,4.0
339,rio gallegos,40,AR,1563163115,78,-51.62,-69.22,37.4,11.41
340,bambous virieux,75,MU,1563163402,88,-20.34,57.76,68.0,12.75
341,bukachacha,0,RU,1563163533,37,52.99,116.91,74.25,6.17
342,sechura,42,PE,1563163533,88,-5.56,-80.82,63.81,10.13
343,beira,0,ES,1563163534,93,43.2,-8.36,66.0,1.12
344,cidreira,100,BR,1563163401,89,-30.17,-50.22,48.33,4.83
345,tazovskiy,62,RU,1563163419,77,67.47,78.7,64.53,11.83
346,henties bay,0,NA,1563163440,97,-22.12,14.28,51.01,3.0
347,mirnyy,98,RU,1563163534,90,56.57,36.46,51.57,2.86
348,guilin,75,CN,1563163384,100,25.28,110.29,75.2,2.24
349,la rioja,2,AR,1563163534,92,-29.41,-66.86,45.81,1.39
350,el cobre,40,VE,1563163534,48,8.04,-72.06,84.2,17.22
351,brawley,1,US,1563163534,22,32.98,-115.53,105.8,5.82
352,sirumugai,20,IN,1563163534,69,11.32,77.01,82.4,10.29
353,kanniyakumari,100,IN,1563163535,81,8.08,77.57,80.73,19.6
354,high level,20,CA,1563163535,42,58.52,-117.13,68.0,3.51
355,mazamari,100,PE,1563163535,97,-11.33,-74.53,40.77,2.26
356,erzurum,0,TR,1563163535,66,39.91,41.27,54.0,3.78
357,goderich,0,CA,1563163429,88,43.74,-81.71,55.99,4.14
358,brae,65,GB,1563163412,100,60.4,-1.35,51.8,9.17
359,belaya gora,78,RU,1563163290,53,68.54,146.19,60.57,7.25
360,kahului,40,US,1563163254,48,20.89,-156.47,87.8,23.04
361,ust-ishim,0,RU,1563163536,71,57.69,71.17,76.05,6.29
362,prince rupert,90,CA,1563163389,93,54.32,-130.32,60.8,3.36
363,manaure,1,CO,1563163536,78,11.78,-72.45,80.37,24.65
364,mana,93,NG,1563163434,51,13.03,5.27,86.13,8.43
365,payson,1,US,1563163536,31,40.04,-111.73,84.99,6.93
366,ishigaki,40,JP,1563163443,79,24.34,124.16,87.8,10.29
367,san-pedro,0,CI,1563163431,96,4.75,-6.64,66.33,1.43
368,verkhnyaya toyma,0,RU,1563163536,68,62.24,45.0,57.69,2.64
369,kovdor,100,RU,1563163536,84,67.56,30.47,44.37,3.24
370,walvis bay,90,NA,1563163472,93,-22.95,14.51,55.4,1.12
371,saint-augustin,20,CA,1563163537,77,45.63,-73.98,69.01,3.36
372,lavrentiya,80,RU,1563163294,52,65.58,-170.99,67.77,10.78
373,ketchikan,20,US,1563163415,63,55.34,-131.65,66.2,11.41
374,darhan,100,MN,1563163438,66,49.49,105.92,72.09,4.16
375,nador,0,MA,1563163537,47,35.17,-2.93,77.0,6.93
376,voskresenskoye,0,RU,1563163537,89,56.84,45.43,54.45,3.83
377,dabakala,1,CI,1563163537,96,8.36,-4.43,68.13,3.67
378,fairbanks,75,US,1563163231,49,64.84,-147.72,73.99,5.82
379,kapit,0,MY,1563163537,50,2.02,112.94,89.73,2.28
380,rundu,0,NA,1563163538,45,-17.91,19.77,46.4,1.12
381,yulara,23,AU,1563163418,38,-25.24,130.99,59.0,14.99
382,flin flon,86,CA,1563163439,61,54.77,-101.88,68.49,4.74
383,caraballeda,20,VE,1563163476,78,10.61,-66.85,78.8,4.36
